MOF Identifier v1 (SMILES + Metadata),Largest Cavity Diameter (Ã…),Pore Limiting Diameter (Ã…),Largest Free Path Diameter (Ã…),Crystal Density (g/cm3),Pore Volume (A3),Void Fraction,Pore Volume (cm3/g),Metal Types,Heat Capacity at 300 K (J/g/K),Heat Capacity Std. Dev. at 300 K (J/g/K),Heat Capacity at 350 K (J/g/K),Heat Capacity Std. Dev. at 350 K (J/g/K),Heat Capacity at 400 K (J/g/K),Heat Capacity Std. Dev. at 400 K (J/g/K),Heat Capacity Temperature Coefficient (J/g/K/K),Heat Capacity Intercept (J/g/K),Number of Atoms,Thermal Stability (â„ƒ),Solvent Stability,Water Stability,KH Classes
unknown,17.39177,16.57119,17.39177,0.768967,1967.98,0.7576,0.985218,Zn,0.740030009,0.018673263,0.830172284,0.030066683,0.882023708,0.038272085,0.001419937,0.32043072,84,372.3,0.9503851,0.490643223,weak
O=C1c2ccc(cc2C(=O)c2c1cc(cc2)C(=O)[O-])C(=O)[O-].[Mn].[O-]C(=O)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C(=O)[O-],7.60082,6.12799,7.60082,0.922419,2717.35,0.6176,0.669544,Mn,0.864059852,0.014969421,0.964135496,0.036061898,1.02203101,0.045198172,0.001579712,0.397176391,203,404.6,0.47460434,0.758461538,strong
O=C1c2ccc(cc2C(=O)c2c1cc(cc2)C(=O)[O-])C(=O)[O-].[Mn].[O-]C(=O)c1ccc2c(c1)C(=O)c1c(C2=O)ccc(c1)C(=O)[O-],8.46431,6.42171,8.4452,0.884009,2972.23,0.6474,0.732346,Mn,0.858162312,0.016147763,0.963488998,0.036918914,1.018970813,0.044611168,0.001608085,0.384044284,203,403.7,0.5218724,0.7,none
[O-]C(=O)c1ccc2c(c1)c1cc(ccc1n2c1ccccc1)C(=O)[O-].[Zn][O]([Zn])([Zn])[Zn],10.48991,3.42602,10.4591,0.893598,6006.97,0.6386,0.714639,Zn,0.826325398,0.028093424,0.927232445,0.05405151,0.981692796,0.067259231,0.001553674,0.367964321,452,421.4,0.6862246,0.38,strong
Cc1nccn1c1ncnc(c1)n1ccnc1C.[Co][Co].[O-]C(=O)c1ccc(c2c1cccc2)C(=O)[O-],4.25065,2.91668,4.25065,1.36161,1655.11,0.4314,0.31683,Co,0.908506536,0.030352703,1.01532826,0.064528345,1.07059153,0.076308096,0.00162085,0.430844629,304,385,0.8007305,0.818226601,weak
[Co]12[OH]3[Co]4[OH]2[Co]2[OH]4[Co]4[OH]5[Co]3[OH]1[Co]5[OH]24.[O-]C(=O)c1ccc(cc1)N(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].n1ccc(cc1)c1ccncc1,9.53481,8.88161,9.53034,0.75846,5002.96,0.683,0.900509,Co,0.876529273,0.035282345,0.95708618,0.061617357,1.024388899,0.070933104,0.001478596,0.435159426,316,304.6,0.8827287,0.78,weak
Cc1ncn(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cu][Cu],4.386,2.77373,4.38022,1.18538,915.343,0.5308,0.447789,Cu,0.857648984,0.025843765,0.949159886,0.054438404,1.007632529,0.063542976,0.001499835,0.413204727,108,305.7,0.7951859,0.5,weak
[Cu][Cu].[O-]C(=O)c1cc(cc(c1)n1cncc1)C(=O)[O-],4.3583,3.52183,4.33176,1.10472,1062.45,0.6016,0.544574,Cu,0.829857358,0.023001791,0.914932167,0.046524385,0.988935942,0.05735337,0.001590786,0.354466779,96,293.8,0.7197384,0.62,unknown
[Cu][Cu].[O-]C(=O)c1cc(cc(c1)n1ccnc1C)C(=O)[O-],4.78705,3.66848,4.77757,1.10662,2167.13,0.5866,0.530085,Cu,0.864326142,0.02564371,0.927452466,0.050602657,1.015815171,0.062651003,0.00151489,0.405652994,216,390.1,0.672141,0.538461538,weak
unknown,4.55268,2.94362,4.55268,1.96126,914.267,0.5476,0.279208,Er,0.53833733,0.013329579,0.591147552,0.021737295,0.614298532,0.025947036,0.000759612,0.31539693,92,435.9,0.31789994,0.7,none
[Co].[Fe].[O-]C(=O)C1=CC=C[CH]1.[O-]C(=O)C1=C[CH]C=C1.[O-]C(=O)[C]1C=CC=C1.n1ccc(cc1)c1ccncc1,4.61119,3.38932,4.58689,1.35961,4175.34,0.4386,0.322592,"Co,Fe",0.880964363,0.034913827,0.987159196,0.069339436,1.030344726,0.082235192,0.001493804,0.443324824,736,375.6,0.51763934,0.465,unknown
[Co].[O-]C(=O)c1ccc(cc1)C1=C2C=CC(=C(c3ccncc3)C3=NC(=C(C4=CC=C(C(=C5N=C1C=C5)c1ccncc1)[N]4)c1ccc(cc1)C(=O)[O-])C=C3)[N]2,5.76378,2.59733,5.76378,1.30886,1164.6,0.4028,0.307748,Co,0.91615707,0.039114543,1.072359069,0.053676077,1.133254212,0.075212323,0.002170971,0.28075012,237,555,0.8948114,0.69,none
[Cu].n1ccc(cc1)c1ccncc1,6.17614,3.45944,6.17614,0.793068,2027.6,0.644,0.812036,Cu,0.949896367,0.00343123,1.092327571,0.004350138,1.231361212,0.003355999,0.002814648,0.106068092,164,322,0.8744968,0.576666667,weak
[Cu].[In].[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-],4.60859,4.02814,4.60366,1.25332,3877.6,0.552,0.440431,"In,Cu",0.770585612,0.01868569,0.864337351,0.030264769,0.930294372,0.042136503,0.001597088,0.296091785,400,382.1,0.7474628,0.46,none
[O-]C(=O)c1ccc(nc1)c1ccc(cn1)C(=O)[O-].[Sc],6.15436,5.5019,6.1489,0.885831,1910.11,0.624,0.704423,Sc,0.911496545,0.025938515,1.010128195,0.046931975,1.092833491,0.062342622,0.001813369,0.370140099,148,437.3,0.46676618,0.38225,weak
[Cd].[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].c1ccc2c(c1)n(cn2)c1ccc(cc1)n1cnc2c1cccc2,7.74783,5.36023,7.74751,1.11086,2749.79,0.569,0.512217,Cd,0.841242009,0.035166059,0.927764484,0.063427982,0.988677275,0.072737171,0.001474353,0.403204488,304,343.1,0.7057628,0.87,weak
[O-]C(=O)C.[O-]C(=O)c1ccc(cc1)P(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[OH]5[Zr]62[OH]2[Zr]71[OH]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[OH]43,6.81859,3.42446,6.81859,1.47843,1786.44,0.4964,0.335762,Zr,0.809177363,0.024384637,0.895187075,0.03934872,0.960500686,0.038224287,0.001513233,0.358656745,242,343.5,0.8795562,0.848,strong
[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Yb][Yb],4.73732,3.96673,4.63776,1.32706,1868.68,0.4734,0.356727,Yb,0.791481158,0.033460498,0.895144765,0.054221853,0.948879491,0.067052419,0.001573983,0.327607642,284,481.5,0.8889427,0.68,weak
[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Yb][Yb],4.69534,3.91556,4.66517,1.33415,1898.95,0.4746,0.355733,Yb,0.80251498,0.034118107,0.909357334,0.053650629,0.964930644,0.06708408,0.001624157,0.323812827,292,440.5,0.9334472,0.69,strong
unknown,14.85353,14.56405,14.85148,0.975636,2116.74,0.7028,0.720351,In,0.691639227,0.01873209,0.760420656,0.031687329,0.808828331,0.042686794,0.001171891,0.343467541,108,346.3,0.8479349,0.56,strong
O=C1C(=O)C(=C1Nc1cccc(c1)C(=O)[O-])Nc1cccc(c1)C(=O)[O-].[Co].n1ccc(cc1)c1ccncc1,6.44898,5.79069,6.44898,0.956026,2307.46,0.5874,0.614419,Co,0.917557619,0.032763424,1.023113469,0.065977638,1.088662321,0.079733487,0.001711047,0.410911347,228,349.1,0.7802036,0.922622378,strong
I[Cu]12[Cu]3[Cu]1[Cu]23(I)(I)I.N#CC1=C(C#N)[N]C=N1,6.57032,4.77193,6.45987,2.49229,2729.27,0.5826,0.233761,Cu,0.332412838,0.005382032,0.346273954,0.007452468,0.347586331,0.011760574,0.000151735,0.288983814,144,335.1,0.27593464,0.12,weak
[Zn]O[Zn].c1ncn(c1)c1ccc(cc1)N(c1ccc(cc1)n1cncc1)c1ccc(cc1)n1cncc1,7.35718,3.96602,7.35718,1.02207,3770.38,0.5612,0.549082,Zn,0.903969656,0.055079515,1.024536227,0.086799169,1.101612469,0.094244142,0.001976428,0.318289605,452,364.8,0.69391185,0.89,none
[Dy].[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)O.[O-]C(=O)c1ccc(cc1)Oc1ccc(cc1)C(=O)[O-],6.16695,4.19416,6.16695,1.12346,1164.52,0.5828,0.518756,Dy,0.781753068,0.026598262,0.869091138,0.049348414,0.918184283,0.065181891,0.001364312,0.378833575,112,319.8,0.91658694,0.7305,none
[Ag].c1ncn(c1)c1cc(n2cncc2)c(cc1n1cncc1)n1cncc1,5.14616,3.58328,5.13576,1.21648,643.84,0.5238,0.430587,Ag,0.792068974,0.036596409,0.881375239,0.068990405,0.941769833,0.07898548,0.001497009,0.347785012,82,310,0.89978373,0.82,weak
[Co].[O]P(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)(O)[O])(c1ccc(cc1)P(=O)(O)[O])c1ccc(cc1)P(=O)(O)[O])O.[O]P(=O)(c1ccc(cc1)C(c1ccc(cc1)P(=O)([O])O)(c1ccc(cc1)P(=O)([O])O)c1ccc(cc1)P(=O)([O])O)O,5.67015,4.23977,5.67015,1.18335,2399.41,0.5668,0.478981,Co,0.84144715,0.024935319,0.935145437,0.052636383,0.976507017,0.059020377,0.001350599,0.444990336,252,349.9,0.6657554,0.52,weak
[O-]C(=O)c1cc(nc(c1)n1[n-]cc(c1)C(=O)[O-])n1[n-]cc(c1)C(=O)[O-].[Sc][O]([Sc])[Sc],11.9339,9.85072,11.9312,0.70807,4219.33,0.7214,1.01883,Sc,0.861161498,0.019409742,0.946350537,0.034740708,1.039428255,0.044119572,0.001782668,0.325046445,198,341.3,0.43638474,0.5,superstrong_high_loading
unknown,10.87974,10.56887,10.87974,0.821251,2343.39,0.6408,0.780273,Cu,0.901312347,0.030567812,1.022848416,0.059011642,1.079649421,0.066345404,0.001783371,0.377090306,178,297.2,0.32223344,0.93,weak
[La].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],5.92518,4.70219,5.92518,1.07981,3503.26,0.6298,0.583249,Ho,0.724970293,0.020980419,0.800360216,0.036761451,0.854428634,0.048901803,0.001294583,0.340148854,264,453,0.72784173,0.91,none
[Er].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],6.36827,4.93975,6.36827,1.16272,3446.52,0.6278,0.539943,La,0.677569183,0.019316541,0.737695483,0.037672321,0.793450466,0.04750926,0.001158813,0.330653888,264,476.9,0.8369567,0.71,none
[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Pr],6.03249,4.77547,6.02231,1.08763,3494.61,0.63,0.579243,Er,0.720165247,0.020427024,0.785533794,0.038447963,0.841104175,0.049534716,0.001209389,0.35898149,264,437.7,0.7507888,0.87,none
[Gd].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],6.52949,4.89625,6.0606,1.11647,1761.73,0.6294,0.563739,Pr,0.695320045,0.019146487,0.774355925,0.026190382,0.83613679,0.035511656,0.001408167,0.275745646,132,487,0.85689294,0.91,none
[Ho].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],6.37123,4.90916,6.37123,1.15112,3501.89,0.6346,0.55129,Gd,0.681792087,0.019884523,0.742379761,0.036871331,0.798231715,0.047411607,0.001164396,0.33326249,264,476.4,0.8297218,0.74,none
[Eu].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],6.24436,4.87463,6.24436,1.11531,3476.41,0.6274,0.562532,Eu,0.698382367,0.021435463,0.766873524,0.036624513,0.82246438,0.047619952,0.00124082,0.32828638,264,473.5,0.80079895,0.92,none
[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Sm],6.62817,4.99333,6.62817,1.08613,1799.73,0.6348,0.58446,Sm,0.697866204,0.020180907,0.768492792,0.038667051,0.822944136,0.049193211,0.001250779,0.32532828,132,470.2,0.83332896,0.92,none
[Ce].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],6.00337,4.76533,6.00337,1.08396,3504.76,0.6308,0.581942,Ce,0.722477071,0.020153509,0.789702664,0.037684563,0.848168639,0.048307221,0.001256916,0.346862305,264,465.8,0.74710083,0.83,none
[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb],5.97358,4.67804,5.97358,1.16947,3260.97,0.608,0.519893,Tb,0.690019281,0.018718565,0.770099106,0.026209552,0.834244138,0.034116934,0.001442249,0.260000507,264,467.8,0.77506393,0.92,none
[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Tb],5.81268,4.48764,5.81268,1.1567,3342.55,0.6164,0.532897,Tb,0.691830807,0.018232448,0.768149235,0.025097221,0.833236214,0.035043318,0.001414054,0.269486496,264,461.1,0.8062834,0.88,none
[Nd].[O-]C(=O)c1ccc(cc1)OCc1cc(cc(c1)C(=O)[O-])C(=O)[O-],6.42297,4.95585,6.42249,1.09106,3547.05,0.6368,0.583653,Nd,0.713133012,0.021007405,0.779495506,0.037392817,0.837498623,0.048368406,0.001243656,0.341429408,264,441.2,0.75657284,0.86,none
unknown,6.35964,4.91311,6.35964,1.14845,3454.78,0.6278,0.546651,Dy,0.685343933,0.01948747,0.749069748,0.036262263,0.803070744,0.047532259,0.001177268,0.333784302,264,476.9,0.8255036,0.83,none
unknown,5.81131,4.43098,5.81131,1.10281,3353.97,0.6158,0.558393,La,0.729433142,0.019306383,0.817273975,0.026479432,0.880665054,0.03577011,0.001512319,0.279812366,264,452.3,0.75177133,0.91,none
unknown,6.40417,5.34406,6.38653,1.11521,1472.39,0.6588,0.590743,Cu,0.735714813,0.011914482,0.803986166,0.027021857,0.858102493,0.032056363,0.001223877,0.370910943,96,265.3,0.2997094,0.728226601,weak
[Mn].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].c1ncn(c1)c1ccc(cc1)n1cncc1,4.55427,3.42113,4.54771,1.29793,479.335,0.4374,0.336997,Mn,0.921641828,0.030795248,1.028678296,0.066073951,1.079551385,0.075770265,0.001579096,0.457273713,84,349.9,0.90649784,0.565238095,strong
[Cu].[O-]C(=O)C.[O-]C(=O)c1ccc(cc1)n1cncc1.[OH],5.63644,5.13832,5.63644,1.4695,748.738,0.462,0.314393,Cu,0.855555718,0.029402821,0.931404082,0.063266564,0.98163716,0.076855976,0.001260814,0.48158061,126,280.8,0.78952765,0.81,weak
[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])N1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],5.64538,3.43129,5.64538,1.05613,2310.68,0.5682,0.538002,Cd,0.860514792,0.017563918,0.975067773,0.037276728,1.035592828,0.041764311,0.00175078,0.344285337,218,378.1,0.9082532,0.389411765,strong
[O-]C(=O)c1ccc(cc1)c1cc(c2ccc(cc2)C(=O)[O-])c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,30.19427,28.66711,30.19427,0.457711,18653.9,0.8432,1.84221,Zr,0.761212342,0.031661049,0.839056974,0.052807481,0.898465212,0.058487321,0.001372529,0.352526464,486,468.1,0.94884896,0.94,none
unknown,6.21597,3.42309,6.2013,1.38038,4102.13,0.4962,0.359465,Eu,0.762219073,0.026143589,0.84715762,0.05373268,0.895406283,0.064819833,0.001331872,0.368772426,572,362.7,0.85888296,0.71,none
[O-]C(=O)c1ccc(cc1)c1cc(cc(n1)c1ccc(cc1)C(=O)[O-])c1ccncc1.[Tb][OH]1[Tb][OH]2[Tb]1[OH]1[Tb]2[OH]([Tb]1)[Tb],6.30191,3.57459,6.27878,1.40117,3968.41,0.4814,0.343571,Tb,0.752948481,0.025520511,0.83698094,0.053968439,0.882860321,0.064770432,0.001299118,0.36957181,572,383.8,0.750336,0.63,none
[Cd].[O-]C(=O)c1cccc(c1c1c(cccc1C(=O)[O-])C(=O)[O-])C(=O)[O-].c1ccc(cn1)C1=NC(=[N]=C([N]1)c1cccnc1)c1cccnc1,8.32557,5.01245,8.32557,1.21185,2604.57,0.5504,0.45418,Cd,0.756313169,0.021274457,0.845457739,0.043430661,0.900930152,0.051135245,0.00144617,0.328074246,272,360,0.9600098,0.592,superstrong_high_loading
[Cd].[O-]C(=O)c1cccc(c1c1c(cccc1C(=O)[O-])C(=O)[O-])C(=O)[O-].c1ccc(cn1)C1=NC(=[N]=C([N]1)c1cccnc1)c1cccnc1,7.34755,4.0707,7.34755,1.30533,2302.95,0.5242,0.401584,Cd,0.758451027,0.020698757,0.84583356,0.042988299,0.903792041,0.051305161,0.00145341,0.327331993,272,378.1,0.96152925,0.602,superstrong_high_loading
[Cd].[O-]C(=O)c1cccc(c1c1c(cccc1C(=O)[O-])C(=O)[O-])C(=O)[O-].c1ccc(cn1)C1=NC(=[N]=C([N]1)c1cccnc1)c1cccnc1,5.68584,4.20744,5.68438,1.18259,2754.36,0.568,0.480301,Cd,0.756190186,0.021811499,0.841491389,0.042320035,0.900776901,0.051584818,0.001445867,0.326765991,272,350.5,0.96325564,0.592,superstrong_high_loading
unknown,4.74523,2.60819,4.74283,1.95175,1713.18,0.4206,0.215499,Zn,0.677140707,0.011236367,0.749667138,0.011847822,0.81000483,0.014918615,0.001328641,0.280579792,280,395.2,0.9110666,0.54,weak
[O-]C(=O)c1ccc(cc1)CNCc1ccc(cc1)C(=O)[O-].[Zn][Zn],15.28978,13.75598,15.28978,0.693667,3608.79,0.7206,1.03883,Zn,0.892912977,0.044559536,0.987953053,0.077356747,1.042082227,0.078782086,0.001491692,0.452223713,210,330.7,0.87678444,0.537661538,weak
unknown,4.22949,3.16585,4.20483,1.37884,463.23,0.4174,0.302719,Zn,0.888122227,0.030140542,1.004130196,0.063615439,1.054233884,0.073347003,0.001661117,0.400771302,88,404.4,0.4778852,0.81,weak
[O-]C(=O)c1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],6.77542,5.74655,6.77542,0.904611,3403.72,0.663,0.732912,Zn,0.837836007,0.018188108,0.952788509,0.031323399,1.000385567,0.039910183,0.001625496,0.361413233,224,347.8,0.55782217,0.773571429,weak
[Cd].[O-]C(=O)c1cncc(c1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],7.05077,6.2187,6.92901,0.984578,3602.48,0.6732,0.683745,Cd,0.741449134,0.015027351,0.836329625,0.026802493,0.891472991,0.034976782,0.001500239,0.298000422,224,327.2,0.68355364,0.55,weak
[O-]C(=O)CN1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)CC(=O)[O-].[Zn].n1ccc(cc1)C=Cc1ccncc1,5.50326,4.37361,5.49957,1.30104,717.717,0.4478,0.344187,Zn,0.915891742,0.02580481,1.041304221,0.038888533,1.112371974,0.050575314,0.001964802,0.335508503,122,291.4,0.27582872,0.710508812,weak
[Cu].[O-]C(=O)CN1C(=O)c2ccc3c4c2c(C1=O)ccc4C(=O)N(C3=O)CC(=O)[O-].n1ccc(cc1)C=Cc1ccncc1,4.92734,3.30383,4.84517,1.35179,645.981,0.42,0.310698,Cu,0.913722916,0.026805857,1.040088619,0.039063798,1.106539619,0.049270691,0.001928167,0.345258589,122,242.2,0.18757796,0.834282801,strong
[O-]C(=O)c1ccc(cc1)C#Cc1cc(C#Cc2ccc(cc2)C(=O)[O-])c(cc1C#Cc1ccc(cc1)C(=O)[O-])C#Cc1ccc(cc1)C(=O)[O-].[O]12[Zr]34[O]5[Zr]62[O]2[Zr]71[O]4[Zr]14[O]3[Zr]35[O]6[Zr]2([O]71)[O]43,9.619,8.95222,9.619,0.888944,4910.55,0.665,0.748079,Zr,0.798893772,0.023645758,0.862543816,0.03827721,0.929811451,0.053067739,0.001309177,0.405537805,300,415.8,0.81290364,0.96,unknown
[Cd].[O-]C(=O)c1cc(cc(c1)c1ccc(cc1C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-].c1ncn(c1)Cc1ccc(cc1)Cn1cncc1,4.80079,3.30608,4.80079,1.50984,895.594,0.4482,0.296852,Cd,0.796234915,0.024481681,0.883296648,0.050340787,0.941186512,0.059511782,0.001449516,0.366242102,152,348.8,0.92737925,0.672,strong
[Cu][Cu].[O-]C(=O)c1cncc(c1)Oc1ccc(c(c1)C(=O)[O-])C(=O)O,5.49534,3.34203,5.46995,1.23935,1031.78,0.5278,0.425868,Cu,0.855520701,0.020275797,0.959643665,0.045196948,1.012148474,0.049995519,0.001566278,0.394240415,120,395.6,0.34790635,0.699983581,weak
unknown,7.19713,5.66467,7.19713,1.0797,1150.86,0.5586,0.517366,Nd,0.870087284,0.040320663,0.959918331,0.066580131,1.049333862,0.055758692,0.001792466,0.332416805,134,357.1,0.55453026,0.94,superstrong_high_loading
[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-].c1nc(cc(n1)n1cncc1)n1cncc1,6.91333,5.90513,6.91333,0.838175,4682.34,0.6704,0.799833,Co,0.856783652,0.025124525,0.963605899,0.03517091,1.025788612,0.050148185,0.00169005,0.357208694,300,374.8,0.9182273,0.428571429,weak
[Dy].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-],3.73369,2.82471,3.73369,1.68514,1800.49,0.4022,0.238675,Dy,0.757160831,0.027232393,0.838868217,0.054633599,0.885678058,0.063763095,0.001285172,0.377425408,368,318.4,0.9140167,0.67,none
[Eu].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-],3.68928,2.98786,3.68625,1.65352,1801.77,0.4024,0.24336,Eu,0.773541086,0.02757824,0.854426005,0.05427888,0.907428132,0.064581228,0.00133887,0.376527077,368,345.6,0.9122597,0.71,none
[Gd].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-],3.70895,3.01422,3.70895,1.66716,1770.8,0.395,0.236929,Gd,0.766363837,0.027384495,0.850619484,0.054956813,0.899597585,0.063360204,0.001332337,0.372542182,368,343.2,0.9100851,0.72,none
[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-].[Sm],3.72178,2.99213,3.72178,1.62431,1891.62,0.4162,0.256233,Sm,0.779899955,0.027556155,0.860615457,0.055810183,0.908978219,0.065336236,0.001290783,0.398057288,368,378,0.9025614,0.69,none
[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-].[Yb],3.68514,2.8452,3.68514,1.75432,1693.26,0.3866,0.22037,Yb,0.741073307,0.026998721,0.818626411,0.054366552,0.864298638,0.06197626,0.001232253,0.376710792,368,320.2,0.9008635,0.59,none
[Er].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-],3.76328,3.01033,3.75796,1.68864,1801.01,0.3998,0.236759,Er,0.756106237,0.026712954,0.838612734,0.053820134,0.885020255,0.062819158,0.00128914,0.37538068,368,302,0.9148395,0.6,none
[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-].[Tb],3.74664,2.97877,3.69638,1.67209,1823.75,0.4068,0.243289,Tb,0.76346303,0.02787109,0.842595732,0.05537733,0.890571729,0.064497644,0.001271087,0.387329713,368,342.7,0.9105256,0.71,none
[Ho].[O-]C(=O)c1cc(NCc2ccncc2)cc(c1)C(=O)[O-],3.73924,3.02928,3.73924,1.68858,1788.36,0.3986,0.236056,Ho,0.755795481,0.027573279,0.835249013,0.053552193,0.883238426,0.062747315,0.001274429,0.378710665,368,309.4,0.9144392,0.64,none
unknown,6.5487,6.36755,6.54198,0.961571,930.712,0.554,0.576141,Co,0.925458823,0.047985317,1.017483756,0.089532799,1.071746306,0.095287808,0.001462875,0.492890102,106,337.1,0.897768,0.75,strong
unknown,9.07824,5.11386,9.07824,1.03663,2999.99,0.5456,0.52632,Co,0.919612661,0.03918957,1.05245112,0.058052465,1.113757108,0.07646428,0.001941444,0.349101399,354,400.8,0.91138744,0.858,weak
[O-]C(=O)C=CC(=O)[O-].[Sm],5.24348,4.37673,5.23973,1.59006,384.3,0.5724,0.359986,Sm,0.594600379,0.011266071,0.630896714,0.021769519,0.679246775,0.025602492,0.000846464,0.338652237,32,316.1,0.7266374,0.698888889,none
[O-]C(=O)C=CC(=O)[O-].[Tb],5.32073,4.35505,5.32073,1.63759,384.292,0.5742,0.350636,Tb,0.567795035,0.011728422,0.611070902,0.021244851,0.652332845,0.026278409,0.000845378,0.314517259,32,353,0.6947034,0.828888889,none
[Cd].[O-]C(=O)c1cc(OCc2ccncc2)cc(c1)C(=O)[O-],4.62065,3.00983,4.62065,1.52516,380.769,0.4558,0.298854,Cd,0.760935667,0.021976855,0.848490213,0.049542155,0.889872431,0.05387523,0.001289368,0.381820762,60,396.8,0.9201709,0.469558824,strong
O=N(=O)c1cc(ccc1c1cc(cc(c1)C(=O)[O-])C(=O)[O-])C(=O)[O-].O[Gd],5.85143,4.17377,5.84965,1.37849,2720.36,0.5618,0.407547,Gd,0.702881729,0.016528275,0.781321437,0.034061281,0.823923011,0.034809529,0.001210413,0.345730904,264,387,0.7074788,0.62,none
[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-],5.63295,4.71185,5.60435,0.895584,2099.28,0.6308,0.704344,Co,0.863833383,0.029228494,0.983271284,0.045178471,1.033504182,0.065213842,0.001696708,0.36635515,162,360.1,0.659242,0.56625,strong
[O-]C(=O)c1ccc(cc1)c1nc(c2ccc(cc2)C(=O)[O-])c(nc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-].[Pb],4.65844,3.66349,4.60566,1.93177,730.413,0.4376,0.226528,Pb,0.582134612,0.017820378,0.656835328,0.036349142,0.6967839,0.041951983,0.001146493,0.243978774,120,369.7,0.83409476,0.569411765,weak
[Ce].[O-]C(=O)c1ccc(cc1)c1nc(c2ccc(cc2)C(=O)O)c(nc1c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-].[O-]C(=O)c1ccc(cc1)c1nc(c2ccc(cc2)C(=O)[O-])c(nc1c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],4.76524,3.42014,4.45473,1.44395,709.509,0.4422,0.306243,Ce,0.809401778,0.024930548,0.905715,0.051278981,0.956343009,0.061112069,0.001469412,0.376192285,120,320.9,0.9260974,0.86,superstrong_high_loading
