MOF Identifier v1 (SMILES + Metadata),Largest Cavity Diameter (Ã…),Pore Limiting Diameter (Ã…),Largest Free Path Diameter (Ã…),Crystal Density (g/cm3),Pore Volume (A3),Void Fraction,Pore Volume (cm3/g),Metal Types,Heat Capacity at 300 K (J/g/K),Heat Capacity Std. Dev. at 300 K (J/g/K),Heat Capacity at 350 K (J/g/K),Heat Capacity Std. Dev. at 350 K (J/g/K),Heat Capacity at 400 K (J/g/K),Heat Capacity Std. Dev. at 400 K (J/g/K),Heat Capacity Temperature Coefficient (J/g/K/K),Heat Capacity Intercept (J/g/K),Number of Atoms,Thermal Stability (â„ƒ),Solvent Stability,Water Stability,KH Classes
OC(=O)c1cc(C(=O)O)c(cc1N1[N]C=N[CH]1)N1[N]C=N[CH]1.[Co].[O-]C(=O)c1cc(C(=O)[O-])c(cc1N1[N]C=N[CH]1)N1[N]C=N[CH]1.[O-]C(=O)c1cc(C(=O)[O-])c(cc1N1[N]C=N[CH]1)n1ncnc1,6.07235,3.93851,6.07235,1.18268,1906.55,0.5164,0.436635,Co,0.899411814,0.02102651,1.012341573,0.046324301,1.076306111,0.053713456,0.001768943,0.376889791,236,345.2,0.44074845,0.739545455,weak
unknown,8.74454,4.76382,8.20215,0.77079,1442.47,0.627,0.813451,Ni,0.954963563,0.055237569,1.053472522,0.107687935,1.116519708,0.104424513,0.001615561,0.476205418,127,343.8,0.15564895,0.86,weak
O=[C]1=NC2=N[C](=NC3=[N]=[C](=O)N=C([N]1)N23)=O.O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.[Ce],5.60637,5.50315,5.60637,1.54829,898.719,0.5848,0.377707,Ce,0.582087423,0.008614378,0.622730458,0.010298036,0.683280354,0.009182518,0.001011929,0.275190821,68,466.5,0.83325917,0.83,none
O=[C]1=NC2=N[C](=NC3=[N]=[C](=O)N=C([N]1)N23)=O.O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.[Pr],5.58275,5.44827,5.58275,1.57041,882.853,0.5814,0.370221,Pr,0.577728378,0.009227135,0.618738894,0.010806024,0.678362484,0.009178908,0.001006341,0.27272388,68,413.6,0.8552604,0.83,none
O=[C]1=NC2=N[C](=[N]=C3N2C(=N[C](=O)=N3)[N]1)=O.O=[C]1=NC2=[N]=[C](=O)N=C3N2C(=N[C](=O)=N3)[N]1.[La],5.66062,5.50843,5.66062,1.52957,907.265,0.5852,0.382591,La,0.581962201,0.009045175,0.62778567,0.010589254,0.684347227,0.009445969,0.00102385,0.273017438,68,445.5,0.84671533,0.83,superstrong_high_loading
N1=C[N]N([CH]1)c1ccc(cc1)C1=NN=N[N]1.[Cu],4.62691,4.02117,4.6098,1.42679,455.663,0.4012,0.28119,Cu,0.865588829,0.026442707,0.993975553,0.042168014,1.054033053,0.057069653,0.001884442,0.311644361,90,272.2,0.18232733,0.819655172,weak
[Cu][Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],13.26988,6.68271,13.26988,0.868078,3326.76,0.7188,0.828036,Cu,0.741347045,0.012634057,0.812662239,0.025335044,0.86286729,0.032634819,0.001215202,0.380304666,156,324.8,0.950151,0.959392857,weak
C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc2c(s1)cc1c(c2)sc(c1)C(=O)[O-].[Zn],5.16535,3.80955,5.16535,1.11292,1715.61,0.5404,0.485571,Zn,0.899554855,0.031350348,1.006193312,0.064939456,1.053915241,0.078616283,0.001543604,0.446293116,204,316.1,0.8972902,0.220003205,weak
COc1cccc(c1[O])[CH][N]NC(=O)c1ccc(cc1)NC(=O)c1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],6.82055,4.25216,6.81945,1.00531,3598.37,0.633,0.629655,Cd,0.792218812,0.024357805,0.876453244,0.053983128,0.930954742,0.064642897,0.001387359,0.38096651,288,333.1,0.502957,0.5805,strong
[Cd].[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,4.39877,3.53847,4.39194,1.35224,2699.37,0.4454,0.32938,Cd,0.870668593,0.03369902,0.965202842,0.064013523,1.025555032,0.074976142,0.001548864,0.411706289,472,316.4,0.90758246,0.577058824,weak
[Cd].[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,4.40252,3.44314,4.30991,1.32725,2821.81,0.457,0.34432,Cd,0.869772983,0.033235584,0.964479358,0.063114154,1.023703743,0.073448785,0.001539308,0.413894366,472,321.5,0.92933965,0.557058824,weak
[Ni].[O-]C(=O)c1cc(Oc2ccc(cc2)c2cc(nc(c2)c2ccncc2)c2ccncc2)cc(c1)C(=O)[O-],4.85428,3.67505,4.84574,1.20986,2838.94,0.4734,0.391286,Ni,0.915259462,0.032487095,1.030832076,0.066519395,1.077779579,0.076528593,0.001625201,0.439136633,440,392.8,0.4113676,0.69,superstrong_high_loading
[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)O)c1ccc(cc1)C(=O)[O-].[Zn][Zn],6.62246,3.70658,6.57591,1.12099,3141.31,0.5596,0.499202,Zn,0.873274242,0.030188435,0.98667376,0.056384359,1.034053703,0.073829329,0.001607795,0.401939122,344,397.1,0.92216027,0.58,weak
O[In][OH][In][OH][In]O.[O-]C(=O)c1ccc(cc1)P(=O)(c1ccc(cc1)C(=O)[O-])c1ccc(cc1)C(=O)[O-],5.47137,3.17727,5.46697,1.36058,1589.84,0.5308,0.390127,In,0.764805521,0.022800098,0.854805686,0.042786434,0.890170194,0.052860216,0.001253647,0.397817449,186,292.3,0.34399748,0.85,strong_high_loading
COc1cccc(c1[O])[CH][N]NC(=O)c1cccnc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],6.99462,3.97878,6.99462,1.22425,2568.3,0.5936,0.484868,Cd,0.714310366,0.019248922,0.793190353,0.043090249,0.844550479,0.054572528,0.001302401,0.328176669,234,271.1,0.6999017,0.670293594,strong
[Co].[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].n1ccc(cc1)C1=NC(=[N]=C([N]1)c1ccncc1)c1ccncc1,8.58796,4.10545,8.57134,0.898646,7663.98,0.6252,0.695713,Co,0.882471477,0.034994871,0.986895682,0.064529448,1.039410149,0.077974333,0.001569387,0.420307084,630,424.6,0.803469,0.779765063,weak
